trade_date,next_day,score_count,reason,bins_actual,tradable_with_score,bins_expected,bins_collapsed,chosen_bins,picks_count,min_count
2026-01-05,2026-01-06,0,missing_score,0,,,,,,
2026-01-06,2026-01-07,368,ok,18,368.0,20.0,True,"17,16",37.0,10.0
2026-01-07,2026-01-08,380,ok,20,380.0,20.0,False,"19,18",38.0,10.0
2026-01-08,2026-01-09,380,ok,20,380.0,20.0,False,"19,18",38.0,10.0
2026-01-09,2026-01-12,379,ok,20,379.0,20.0,False,"19,18",38.0,10.0
2026-01-12,2026-01-13,0,missing_score,0,,,,,,
2026-01-13,2026-01-14,375,ok,20,375.0,20.0,False,"19,18",38.0,10.0
2026-01-14,2026-01-15,377,ok,20,377.0,20.0,False,"19,18",38.0,10.0
2026-01-15,2026-01-16,376,ok,20,376.0,20.0,False,"19,18",38.0,10.0
2026-01-16,2026-01-19,376,ok,20,376.0,20.0,False,"19,18",38.0,10.0
2026-01-19,2026-01-20,0,missing_score,0,,,,,,
2026-01-20,2026-01-21,368,ok,20,368.0,20.0,False,"19,18",37.0,10.0
2026-01-21,2026-01-22,376,ok,19,376.0,20.0,True,"18,17",38.0,10.0
2026-01-22,2026-01-23,377,ok,20,377.0,20.0,False,"19,18",38.0,10.0
2026-01-23,2026-01-26,374,ok,18,374.0,20.0,True,"17,16",38.0,10.0
2026-01-26,2026-01-27,0,missing_score,0,,,,,,
2026-01-27,2026-01-28,374,ok,17,374.0,20.0,True,"16,15",38.0,10.0
2026-01-28,2026-01-29,373,ok,19,373.0,20.0,True,"18,17",38.0,10.0
2026-01-29,2026-01-30,373,ok,19,373.0,20.0,True,"18,17",38.0,10.0
2026-01-30,2026-02-02,374,ok,16,374.0,20.0,True,"15,14",38.0,10.0
2026-02-02,2026-02-03,372,ok,15,372.0,20.0,True,"14,13",38.0,10.0
2026-02-03,2026-02-04,373,ok,17,373.0,20.0,True,"17,16",38.0,10.0
2026-02-04,2026-02-05,373,ok,15,373.0,20.0,True,"14,13",37.0,10.0
2026-02-05,2026-02-06,372,ok,20,372.0,20.0,False,"19,18",38.0,10.0
2026-02-06,2026-02-09,375,ok,20,372.0,20.0,False,"19,18",38.0,10.0
2026-02-09,2026-02-10,374,ok,15,373.0,20.0,True,"14,13",38.0,10.0
2026-02-10,2026-02-11,374,ok,8,371.0,20.0,True,"7,6",26.0,10.0
2026-02-11,2026-02-12,374,ok,17,370.0,20.0,True,"16,15",37.0,10.0
2026-02-12,2026-02-13,373,ok,17,370.0,20.0,True,"16,15",36.0,10.0
2026-02-13,2026-02-24,371,ok,19,369.0,20.0,True,"18,17",36.0,10.0
2026-02-24,2026-02-25,371,ok,17,369.0,20.0,True,"16,15",33.0,10.0
