factor,n_aligned,n_valid,max_abs,mae,rmse,p99_abs,match_tol_1e-12,match_tol_1e-9,match_tol_1e-6
ret_skew_30m,424,424,5.618277980215756,0.03796738823557876,0.31259685162382395,0.8664296891546164,0.9504716981132075,0.9504716981132075,0.9504716981132075
amount_30m,424,424,0.0008544921875,4.20238049525135e-05,0.0001017950868343608,0.00048828125,0.0589622641509434,0.0589622641509434,0.08962264150943396
vwap_30m,424,424,5.826450433232822e-13,1.2561859309570074e-13,1.623986356367967e-13,4.700950739788812e-13,1.0,1.0,1.0
vwap_gap_30m,424,424,5.0432748255335724e-15,1.0256166192816647e-15,1.3251028920919606e-15,3.721452399713105e-15,1.0,1.0,1.0
mom_slope_30m,424,424,3.694961003830599e-16,3.6241740103174464e-17,4.910272672670842e-17,1.3149312368121446e-16,1.0,1.0,1.0
aacb_l3,424,424,1.235990476633475e-17,1.9704863068804945e-18,2.5788451798328643e-18,7.15573433840433e-18,1.0,1.0,1.0
vol_60m,424,424,4.336808689942018e-18,8.5053295131937e-19,1.0940876185371988e-18,2.9482167575312074e-18,1.0,1.0,1.0
vol_30m,424,424,2.6020852139652106e-18,4.085735338972866e-19,5.601451407580826e-19,1.776465259617498e-18,1.0,1.0,1.0
amihud_30m,424,424,3.6350710512584224e-27,1.9278119776642113e-28,4.408610647836832e-28,1.9962598523160818e-27,1.0,1.0,1.0
volen_f60_s10_l3,424,424,0.0,0.0,0.0,0.0,1.0,1.0,1.0
ret_5m,424,424,0.0,0.0,0.0,0.0,1.0,1.0,1.0
ret_10m,424,424,0.0,0.0,0.0,0.0,1.0,1.0,1.0
ret_30m,424,424,0.0,0.0,0.0,0.0,1.0,1.0,1.0
ret_60m,424,424,0.0,0.0,0.0,0.0,1.0,1.0,1.0
ret_open_0930_1430,424,424,0.0,0.0,0.0,0.0,1.0,1.0,1.0
range_30m,424,424,0.0,0.0,0.0,0.0,1.0,1.0,1.0
pos_30m,424,424,0.0,0.0,0.0,0.0,1.0,1.0,1.0
volume_30m,424,424,0.0,0.0,0.0,0.0,1.0,1.0,1.0
volimb_30m_l3,424,424,0.0,0.0,0.0,0.0,1.0,1.0,1.0
spread,424,424,0.0,0.0,0.0,0.0,1.0,1.0,1.0
depth_imb_l3,424,424,0.0,0.0,0.0,0.0,1.0,1.0,1.0
mid_move_30m,424,424,0.0,0.0,0.0,0.0,1.0,1.0,1.0
turnover_30m,424,424,0.0,0.0,0.0,0.0,1.0,1.0,1.0
microprice_bias_l1,424,424,0.0,0.0,0.0,0.0,1.0,1.0,1.0
depth_slope_l5,424,424,0.0,0.0,0.0,0.0,1.0,1.0,1.0
