dt,code,py,rust,abs_diff
2025-01-03 14:30:00,110077.SH,4.178472536238144,4.178472536237992,1.5187850976872141e-13
2025-01-03 14:30:00,110094.SH,4.616914131049981,4.616914131050044,6.306066779870889e-14
2025-01-03 14:30:00,123188.SZ,-2.871934368075814,-2.8719343680758698,5.595524044110789e-14
2025-01-03 14:30:00,123224.SZ,4.633346641852096,4.633346641852147,5.062616992290714e-14
2025-01-03 14:30:00,123113.SZ,5.618277980215756,5.618277980215793,3.730349362740526e-14
2025-01-03 14:30:00,113021.SH,1.9036594838079388,1.9036594838079637,2.4868995751603507e-14
2025-01-03 14:30:00,113673.SH,0.9276286658000336,0.9276286658000577,2.4091839634365897e-14
2025-01-03 14:30:00,118006.SH,1.3737483523211835,1.37374835232116,2.353672812205332e-14
2025-01-03 14:30:00,113659.SH,-1.0639700754124009,-1.063970075412379,2.1760371282653068e-14
2025-01-03 14:30:00,118040.SH,3.2416472073072393,3.2416472073072593,1.9984014443252818e-14
2025-01-03 14:30:00,110075.SH,-1.2527991622635535,-1.2527991622635726,1.9095836023552692e-14
2025-01-03 14:30:00,128136.SZ,1.241888605390089,1.241888605390108,1.887379141862766e-14
2025-01-03 14:30:00,113656.SH,2.0793573325679757,2.0793573325679575,1.8207657603852567e-14
2025-01-03 14:30:00,113593.SH,-0.8324149468425853,-0.8324149468425671,1.8207657603852567e-14
2025-01-03 14:30:00,113534.SH,1.5700184095407281,1.5700184095407101,1.7985612998927536e-14
2025-01-03 14:30:00,123185.SZ,4.520815368823542,4.520815368823559,1.687538997430238e-14
2025-01-03 14:30:00,113598.SH,1.3589653770474468,1.3589653770474637,1.687538997430238e-14
2025-01-03 14:30:00,127064.SZ,3.5087922774681557,3.508792277468172,1.6431300764452317e-14
2025-01-03 14:30:00,127051.SZ,1.2160378560754248,1.2160378560754086,1.6209256159527285e-14
2025-01-03 14:30:00,113054.SH,0.631017152264632,0.6310171522646478,1.587618925213974e-14
2025-01-03 14:30:00,113657.SH,-0.32577086247828435,-0.3257708624783002,1.587618925213974e-14
2025-01-03 14:30:00,127075.SZ,1.117637539713955,1.1176375397139708,1.5765166949677223e-14
2025-01-03 14:30:00,128072.SZ,1.0249397225867267,1.0249397225867423,1.554312234475219e-14
2025-01-03 14:30:00,113051.SH,0.566990526341998,0.5669905263419832,1.4765966227514582e-14
2025-01-03 14:30:00,111001.SH,1.6387734078844274,1.6387734078844127,1.4654943925052066e-14
2025-01-03 14:30:00,113621.SH,1.4888970432935784,1.4888970432935642,1.4210854715202004e-14
2025-01-03 14:30:00,113649.SH,2.2613711053149554,2.2613711053149697,1.4210854715202004e-14
2025-01-03 14:30:00,123191.SZ,1.5940014293271816,1.5940014293271674,1.4210854715202004e-14
2025-01-03 14:30:00,118022.SH,4.761420916830791,4.761420916830805,1.4210854715202004e-14
2025-01-03 14:30:00,127083.SZ,1.5214530713870975,1.5214530713871115,1.3988810110276972e-14
2025-01-03 14:30:00,113640.SH,1.4307002004530056,1.430700200452993,1.2656542480726785e-14
2025-01-03 14:30:00,123229.SZ,-0.3114220700709736,-0.31142207007096184,1.176836406102666e-14
2025-01-03 14:30:00,118031.SH,1.432757695871792,1.4327576958718038,1.176836406102666e-14
2025-01-03 14:30:00,118051.SH,-0.4033749993686513,-0.4033749993686629,1.1601830607332886e-14
2025-01-03 14:30:00,118025.SH,1.2505919401760939,1.2505919401760823,1.1546319456101628e-14
2025-01-03 14:30:00,113048.SH,-0.8936773387545964,-0.8936773387545854,1.099120794378905e-14
2025-01-03 14:30:00,123133.SZ,0.631670556309015,0.631670556309004,1.099120794378905e-14
2025-01-03 14:30:00,127027.SZ,0.2578628714240735,0.25786287142406256,1.0935696792557792e-14
2025-01-03 14:30:00,118023.SH,-1.3748628366978934,-1.3748628366979043,1.0880185641326534e-14
2025-01-03 14:30:00,113661.SH,-0.5701689336170115,-0.5701689336170019,9.547918011776346e-15
2025-01-03 14:30:00,110055.SH,-0.21338784738051775,-0.21338784738052724,9.492406860545088e-15
2025-01-03 14:30:00,113609.SH,1.2892663924671364,1.2892663924671457,9.325873406851315e-15
2025-01-03 14:30:00,113542.SH,0.9757587902179173,0.9757587902179267,9.325873406851315e-15
2025-01-03 14:30:00,118007.SH,-0.9475255754029775,-0.9475255754029864,8.881784197001252e-15
2025-01-03 14:30:00,127017.SZ,-1.9064835046242847,-1.9064835046242936,8.881784197001252e-15
2025-01-03 14:30:00,113660.SH,-0.6168233596955192,-0.6168233596955103,8.881784197001252e-15
2025-01-03 14:30:00,127038.SZ,-0.6420022985718663,-0.6420022985718751,8.770761894538737e-15
2025-01-03 14:30:00,128132.SZ,0.9450392980366356,0.9450392980366443,8.770761894538737e-15
2025-01-03 14:30:00,111002.SH,-0.3341664169733133,-0.3341664169733046,8.659739592076221e-15
2025-01-03 14:30:00,113680.SH,-0.661839276928609,-0.6618392769286006,8.43769498715119e-15
